"36000","New York",9727348,9482658,9410147,9431043,9464935,9511472,9595379,9731825,9922869,10108586,10346129,10422202,10334385,10360965,10509161,10648866,10787589,11044506,11166653,10954351,10973106
"37000","North Carolina",3902373,3865529,3963816,4086843,4201049,4354641,4458978,4602983,4715648,4811767,4887145,4840564,4834365,4849313,4963074,5093408,5250753,5436636,5425100,5229204,5201605
"38000","North Dakota",373890,382218,387620,396886,411338,418075,425783,429892,436472,439055,443449,444566,442662,444496,453638,462680,472378,482132,491394,492655,502780
"39000","Ohio",5863015,5842457,5854116,5959798,6136451,6299654,6395002,6500115,6616077,6690985,6782014,6710695,6640830,6630434,6677697,6722669,6761906,6810557,6745551,6478941,6451236
"40000","Oklahoma",1654743,1668179,1680022,1715718,1748232,1799650,1849559,1896861,1946833,1962292,2002817,2009727,1979413,1965952,1988513,2031887,2091175,2144115,2186962,2140927,2135219
"41000","Oregon",1626385,1635517,1653649,1697791,1780620,1845372,1919606,1986426,2023619,2048688,2094825,2088698,2064780,2083820,2137067,2199828,2263610,2317876,2307058,2206095,2201451
"42000","Pennsylvania",6292542,6211669,6216278,6256367,6323071,6422943,6477294,6584830,6673726,6773542,6911969,6927482,6908759,6904326,6978825,7084194,7186095,7270927,7289272,7120222,7137155
"44000","Rhode Island",550468,523917,529175,533447,532959,536250,539724,545954,553557,564713,578198,581080,585018,591342,599975,604307,609775,615605,607209,587215,586837
"45000","South Carolina",1912747,1886170,1897465,1931459,1978983,2038053,2080349,2140786,2194685,2239869,2274642,2243659,2290017,2317117,2384003,2428172,2490555,2567147,2557139,2457616,2452425
"46000","South Dakota",409374,420472,431189,442481,464396,472046,479226,484646,493668,505253,515569,511524,510126,510290,519452,529475,540441,551069,559692,555014,556467
"47000","Tennessee",2777416,2777569,2837263,2942948,3061304,3144656,3194784,3269258,3353087,3408985,3471266,3433689,3425146,3450390,3529765,3597296,3666245,3727351,3692894,3543539,3541421
"48000","Texas",9242899,9403936,9482932,9780517,10098087,10439859,10737590,11165358,11570085,11800215,12151442,12211172,12263136,12358157,12616501,13012291,13500280,14024509,14388207,14229341,14285773
"49000","Utah",938218,960860,978690,1025991,1102315,1150220,1217605,1269877,1308757,1338209,1377859,1379705,1389821,1400938,1452584,1516532,1596933,1674854,1686378,1634833,1633794
"50000","Vermont",340784,334190,341722,349250,358528,361825,367074,372613,382633,390553,401138,404860,406906,408720,415436,420451,423778,429113,428265,418683,419703
"51000","Virginia",3699593,3641765,3657380,3730015,3813122,3902673,3983418,4081750,4155705,4246845,4373557,4410040,4403066,4452669,4574960,4693310,4771956,4866173,4872273,4766366,4764809
"53000","Washington",2842491,2877018,2906917,2950534,3059952,3101334,3192307,3298010,3378586,3441706,3522932,3519948,3479348,3509187,3581947,3683542,3796256,3924717,3959591,3826777,3793568
"54000","West Virginia",777862,778768,789331,801180,822271,838498,846837,858297,872756,871886,880154,877543,873468,870921,881469,893577,906983,920610,924194,905923,907301
"55000","Wisconsin",2814229,2840450,2893937,2949696,3040287,3119622,3170631,3225761,3281667,3346421,3404577,3387304,3394931,3415243,3468730,3510178,3551945,3586955,3577568,3454231,3445878
"56000","Wyoming",270832,277118,279892,284727,297590,300566,303695,306690,313121,316462,325674,330878,333771,336901,344343,355201,371472,390073,399767,388445,385721
