LAUST26000005	3602604	3768991	3934954	3993383	3801322	3757950	3595428	3635797	3824950	3924471	4020118	4129900	4213423	4292254	4262409	4162074	4234783	4364545	4508900	4576521	4647116	4748691	4809503	4897144	4953421	4876338	4724998	4675567	4686953	4717188	4722716	4678094(G)	4549681(G)	4200139(G)	4146562(D)
LAUST27000005	1748910	1818307	1899341	1955727	1976259	2010296	1991237	2009567	2084327	2106717	2134474	2180884	2227930	2268770	2275853	2300781	2341011	2391055	2471516	2529464	2565808	2605673	2656674	2686942	2720492	2755808	2749525	2750938	2752403	2756709	2774524	2768068(G)	2770446(G)	2710803(G)	2741587(D)
LAUST28000005	904375	923240	942657	963351	970388	963557	949738	947586	974286	1003607	1018979	1034538	1048249	1069429	1085419	1084695	1097672	1126904	1159959	1175278	1187018	1200845	1211535	1223725	1239859	1229884	1214631	1226293	1232139	1219135	1199871	1220039(G)	1214108(G)	1169382(G)	1178771(D)
LAUST29000005	1994782	2070671	2138666	2182198	2142085	2146007	2117158	2132956	2222714	2286401	2348204	2393769	2431933	2470365	2456998	2474167	2502779	2539792	2622286	2690210	2734860	2780185	2794869	2819853	2875336	2867853	2829985	2813571	2815878	2849708	2889461	2894771(G)	2871930(G)	2784226(G)	2767306(D)
LAUST30000005	313223	323885	342104	351981	350439	356646	353721	359206	370240	369880	370012	370730	375079	379930	383706	383776	390362	397257	410957	417770	422458	427504	435156	440646	446552	447827	445281	450190	456385	463251	476412	485500(G,C)	486704(G,C)	465911(G,C)	465615(D,C)
LAUST31000005	689157	715739	736018	743230	737510	740568	737985	741568	755912	763188	773346	777666	791621	798674	797799	810181	817915	837361	862659	882603	896132	904492	914644	916270	923198	925783	921201	931622	938105	935447	943176	952622(G)	960250(G)	937434(G)	942075(D)
LAUST32000005	299294	327543	356302	382058	402030	425379	431762	439583	462590	477421	498804	521433	549759	579858	622516	650324	677076	714032	764451	805286	847274	895258	938662	978969	1015221	1042182	1066477	1093507	1128223	1173425	1222277	1245102(G)	1254483(G)	1207767(G)	1195309(D)
LAUST33000005	370837	395614	420283	439143	444956	453640	455859	471077	502198	524325	547918	569498	582857	587572	585032	569621	568909	580137	594935	605929	617629	635469	651292	666066	675541	680706	679818	679420	687855	696765	708748	713782(G)	714665(G)	696384(G)	693985(D)
LAUST34000005	2963559	3067906	3211992	3326100	3329840	3341361	3314529	3392615	3560939	3624435	3706543	3798535	3821831	3835331	3864958	3776632	3709471	3727262	3789960	3846322	3925794	4031022	4047062	4092714	4130310	4117543	4117265	4108397	4144223	4207738	4257899	4264617(G)	4262281(G)	4138364(G)	4116640(D)
LAUST35000005	442856	470681	497241	514943	520151	535494	539419	550140	578333	593047	605821	613362	630267	645302	663698	667698	680463	700258	725387	744557	751826	768596	783661	793052	810024	821003	823191	835835	849970	866349	886708	903919(G)	903902(G)	872985(G)	860204(D)
LAUST36000005	6903595	7021092	7236434	7412220	7378679	7402009	7297252	7332020	7548937	7735385	7897337	8071485	8190324	8277276	8339800	8112503	7979726	8013498	8080243	8125798	8228913	8416544	8546550	8657431	8751441	8743924	8721428	8703889	8816013	8947069	9062464	9097751(G)	9113919(G)	8836180(G)	8762263(D)
LAUST37000005	2446126	2529193	2638569	2679714	2672066	2716224	2661636	2676515	2830825	2924224	3013274	3123756	3215902	3290494	3352165	3330035	3372068	3434311	3511339	3582647	3704108	3809601	3844792	3921244	3969235	3929977	3930736	3973635	4031081	4123857	4261325	4283826(G)	4281719(G)	4085701(G)	4111884(D)
LAUST38000005	267703	275939	283302	289118	292381	295699	298068	301263	306286	309007	311192	312031	312424	312064	305935	305007	305056	308915	327377	331252	334086	335854	336642	336481	335780	336228	333605	336353	339541	343625	349368	355050(G)	358944(G)	355838(G)	361345(D)
LAUST39000005	4404280	4512102	4652138	4728263	4638530	4622555	4504425	4498380	4633591	4696672	4787594	4884435	4994461	5085144	5079472	5045897	5072649	5138818	5254199	5330591	5378491	5448161	5488877	5534376	5573154	5566735	5503109	5498936	5502533	5537419	5602764	5611042(G)	5557149(G)	5327706(G)	5278510(D)
LAUST40000005	1123183	1172713	1224162	1274082	1320770	1376705	1403204	1415275	1446175	1456578	1432286	1431081	1429860	1433720	1434566	1426240	1432081	1450076	1469487	1490602	1514880	1543105	1569498	1590838	1609522	1614627	1602118	1598614	1605641	1628655	1650070	1663632(G)	1674794(G)	1645168(G)	1648822(D)
LAUST41000005	994671	1066033	1134101	1170467	1187977	1197506	1171534	1185413	1208689	1218983	1254894	1302453	1345459	1381601	1424864	1425231	1448017	1489808	1546552	1583153	1618571	1652997	1678407	1697288	1716954	1711041	1704131	1699679	1714447	1740990	1792039	1821827(G)	1829871(G)	1759478(G)	1772216(D)
LAUST42000005	4721443	4807072	4932945	5017263	4997386	5021591	4878084	4864674	5000992	5106655	5228972	5336412	5446776	5533959	5510009	5437439	5455450	5504269	5529551	5554303	5662126	5775178	5787593	5809824	5830902	5874153	5869224	5795701	5859561	5958238	6021084	6054127(G)	6102990(G)	5895057(G)	5848673(D)
LAUST44000005	405847	412959	423875	436488	436954	441105	431527	437170	464205	475926	485994	495750	502255	500778	493674	480591	483329	484965	480669	477409	489929	504147	509551	518848	520758	520677	525721	533265	526046	532961	543973	544437(G)	527304(G)	503806(G)	503576(D)
LAUST45000005	1193533	1221954	1257426	1285486	1301576	1325929	1342557	1361533	1405232	1479200	1516970	1550593	1581786	1611486	1638580	1653770	1673620	1696068	1729363	1754633	1785646	1819508	1849075	1876895	1917365	1834871	1826240	1854419	1888050	1922367	1970912	2010252(G)	2000582(G)	1903146(G)	1909414(D)
LAUST46000005	298130	306399	314617	319673	318046	317244	315106	317167	325429	327853	333232	338469	342024	344370	337503	341025	345996	352666	364452	373515	379222	383216	389748	394898	397678	400352	402397	408089	411708	413819	421799	426763(G)	429728(G)	420665(G)	421066(D)
LAUST47000005	1745576	1816693	1866238	1918544	1920122	1927620	1891509	1932428	2026401	2070047	2110655	2166531	2197182	2241272	2269015	2265985	2316661	2391568	2511085	2574000	2610975	2640005	2685151	2722124	2756498	2728523	2714992	2731371	2746241	2778489	2852509	2901754(G)	2855946(G)	2716061(G)	2783027(D)
LAUST48000005	5375578	5641416	5927062	6195928	6417249	6701939	6874191	7033882	7339653	7498264	7459981	7590455	7732050	7883306	8041859	8139722	8307176	8543207	8778660	8985635	9175983	9395279	9600982	9766299	9896002	9991920	10115299	10228640	10385318	10551547	10757510	10914098(G)	11079931(G)	11071106(G)	11264748(D)
LAUST49000005	496231	521164	546139	574503	589404	605228	616655	632059	659594	678184	697404	709863	727586	752597	784050	810806	845398	892956	945389	979367	1004347	1034429	1061282	1080441	1097915	1108547	1113645	1139129	1179142	1230451	1285389	1329174(G)	1332003(G)	1277162(G)	1252715(D)
LAUST50000005	199746	212105	225503	232575	234061	242478	244005	247565	258134	266786	275617	283370	289026	293595	294074	288280	292288	298277	301836	305279	309653	315806	321608	325581	326742	330099	331763	331292	334188	336583	343149	341282(G)	341783(G)	335098(G)	336785(D)
LAUST51000005	2205277	2269167	2348569	2409453	2443621	2482021	2466999	2561568	2668199	2721669	2791282	2873648	2944634	3014834	3076925	3103294	3146997	3195680	3265139	3317434	3252499	3323266	3384653	3441589	3502524	3537719	3588079	3647095	3715272	3783813	3862508	3894111(G)	3947186(G)	3915856(G)	3960416(D)
LAUST53000005	1479689	1555038	1684832	1793926	1815717	1808415	1784599	1835043	1876848	1926816	2016535	2096708	2181107	2290164	2406444	2383588	2445866	2500782	2566663	2636011	2711963	2822223	2886871	2917577	2898677	2863705	2877022	2913230	2999526	3075972	3155384	3232652(G)	3283923(G)	3193293(G)	3167398(D)
LAUST54000005	646629	670524	697281	710401	701820	688256	660867	639713	647587	648775	654958	663451	674110	684483	691184	688512	689628	696784	712664	723904	735710	746442	754629	762395	764649	758904	749164	742424	746854	763696	777210	774412(G)	770545(G)	743178(G)	733769(D)
LAUST55000005	2021850	2083604	2153903	2207603	2190079	2195594	2162766	2165339	2214989	2228157	2274641	2344901	2423289	2478280	2486129	2499353	2556294	2628814	2713392	2773640	2815599	2855830	2869982	2879024	2894884	2897937	2860915	2862587	2868376	2890117	2932482	2948725(G)	2939773(G)	2842916(G)	2821803(D)
LAUST56000005	172798	188505	203706	217570	227193	237187	237994	236570	238923	234986	228544	222093	221422	221913	223531	223192	224562	229177	236885	240846	241560	243944	247748	251828	256685	259508	258462	259489	262358	267927	276882	282417(G)	287181(G)	281659(G)	281995(D)
