LAUST01000005	1396193	1459192	1524618	1552130	1538910	1507852	1478260	1505701	1576853	1628066	1671375	1710970	1742480	1770129	1782700	1783434	1809337	1850610	1909881	1955846	1992652	2035156	2059310	2070210	2067147	2034909	1994748	1989784	2007153	2051893	2098462	2104157(G)	2054849(G)	1931814(G)	1972387(D)
LAUST02000005	151344	156649	161581	165860	170798	181118	194142	208444	220709	226434	226417	225273	229576	238776	251026	255799	262980	271258	278198	282098	285552	289963	293939	297019	299324	301694	305112	310762	314753	320590	326109	330004(G)	333638(G)	332075(G)	334939(D)
LAUST04000005	885479	954531	1017784	1095715	1146639	1193843	1209990	1264954	1366161	1402031	1461443	1510795	1561986	1624382	1694080	1715227	1753764	1836869	1976722	2095749	2145573	2196901	2278864	2355357	2404916	2453453	2512714	2573137	2650277	2724859	2836638	2898136(G)	2912916(G)	2818389(G)	2774768(D)
LAUST05000005	831452	869276	889922	917926	919354	933439	926190	929253	955218	967713	972911	1000868	1022717	1046117	1049819	1045941	1073382	1106257	1148393	1170593	1179020	1177143	1179338	1198016	1207352	1194024	1204467	1195942	1221553	1270930	1286887	1290188(G)	1296309(G)	1254945(G)	1248913(D)
LAUST06000005	8979772	9517965	10132757	10573478	10791435	10947720	10931095	11083699	11643444	12030497	12434209	12943371	13388315	13770558	14294115	13931679	13874246	13808306	13953855	14062361	14303507	14780791	15203693	15566900	16024341	16220033	16180799	16200064	16354779	16592204	16821266	16960730(G)	16890021(G)	16144481(G)	16051513(D)
LAUST08000005	1171613	1219529	1285477	1369768	1413339	1461092	1485571	1544124	1614511	1610800	1592585	1585706	1600162	1623887	1678229	1704522	1744235	1831489	1953111	2041652	2083740	2154294	2226296	2269668	2300192	2303494	2304109	2339532	2392952	2455773	2541828	2583404(G)	2601059(G)	2514236(G)	2481447(D)
LAUST09000005	1322564	1378513	1431461	1471059	1482804	1505380	1517552	1542196	1594174	1624864	1657341	1682725	1694391	1707128	1725381	1708655	1693563	1682262	1670083	1657732	1659643	1674937	1684831	1696007	1697670	1700046	1700949	1696857	1703865	1718608	1745993	1760875(G)	1766773(G)	1740431(G)	1738458(D)
LAUST10000005	242325	247210	254714	260448	262692	266415	269500	275291	288708	298472	310618	323974	336396	346958	347038	342525	347194	353156	360866	366200	371975	378117	383360	387808	402777	404135	401301	403504	408266	417196	424618	427265(G)	424228(G)	404911(G)	401706(D)
LAUST12000005	3277608	3437032	3710801	3898262	4026492	4211397	4328901	4489884	4811147	4989320	5233969	5515189	5726662	5870515	6060994	6055255	6133417	6298142	6501689	6650064	6822517	7040660	7232345	7401659	7569406	7624718	7662511	7785547	7998202	8305281	8584095	8839027(G)	8646889(G)	8126928(G)	8102324(D)
LAUST13000005	2086181	2167625	2272542	2343886	2371651	2411584	2426141	2476325	2612874	2699326	2799257	2901131	2992923	3069568	3129389	3132596	3182777	3278794	3412606	3522905	3638219	3751699	3861646	3951684	4095362	4112868	4135381	4173787	4249007	4375178	4500150	4587739(G)	4548366(G)	4278522(G)	4213875(D)
