"","1","2","3","4","5","6"
"d.union",-0.252610190125532,NA,-2.20336988871638,0.0380441644266906,NA,0.0205447125045042
"se",1.64622520910239,NA,1.8518102490095,0.10371054070906,NA,0.122588368286737
"d.manuf",-0.0562321026831637,NA,0.184072923619705,-0.111935409993663,NA,-0.104545850942455
"se",1.39868043000767,NA,1.41459565426259,0.088115467357209,NA,0.0936451092299097
"union.post",NA,4.51925214128427,6.97083120801536,NA,0.223493289618654,0.101039775593497
"se",NA,3.645612754335,4.21772115545584,NA,0.240907362907118,0.27920979193864
"manuf.post",NA,-4.53280085244115,-6.21695746572188,NA,0.0151617355584752,-0.00249611827914845
"se",NA,4.61588719487928,4.91670676897913,NA,0.305024501100074,0.325482084612016
"constant",-0.789895741073509,-0.591682474567224,-1.8243237063347,0.0036384399840606,0.020894781364701,-0.0147354002241249
"se",1.48725302631529,0.871547947483109,1.65243545858311,0.0936954522853206,0.0575931487582165,0.109389915449059
"r sqrd",0.000548583426913109,0.000548583426913109,0.000548583426913109,0.000548583426913109,0.000548583426913109,0.000548583426913109
