"","1","2","3","4","5","6"
"d.union",0.339787639704337,NA,-0.160006287505558,-0.59114848290949,NA,-0.582388097682568
"se",0.766846725657621,NA,0.809189242198852,0.430417532597817,NA,0.4730359217602
"d.manuf",-0.00857330127308942,NA,-0.0307325523856707,-0.0372403714588543,NA,-0.032059323479305
"se",0.196976477954187,NA,0.199108652856862,0.110559420525847,NA,0.116394954632172
"union.post",NA,1.70470748912643,1.7644087580327,NA,-0.302155235447664,0.0484834660429149
"se",NA,1.40744268239924,1.55806423088893,NA,0.837662389684062,0.910813331647116
"manuf.post",NA,-2.67187154761207,-2.77103152370006,NA,0.465621755733897,0.221736489675738
"se",NA,1.79230671744967,1.88706415237263,NA,1.06672047591052,1.10314013606085
"constant",0.0941320717866993,0.0586953303839456,-0.0729414841626103,-0.570642293133746,-0.198243648415404,-0.595158435716608
"se",0.589446182345685,0.322324910713757,0.669842696277641,0.330845738679867,0.191836909836304,0.391576705106722
"r sqrd",0.00520378271365173,0.00520378271365173,0.00520378271365173,0.00520378271365173,0.00520378271365173,0.00520378271365173
