"","V1","V2","V3","V4","V5","V6"
"1",-1.77455689941842,-1.77455689941842,-1.77455689941842,-1.77455689941842,-1.77455689941842,-1.77455689941842
"2",-3.26158949219147,-3.26158949219147,-3.26158949219147,-3.26158949219147,-3.26158949219147,-3.26158949219147
"3",0.00527110231802501,0.00527110231802501,0.00527110231802501,0.00527110231802501,0.00527110231802501,0.00527110231802501
"4",0.550398771914253,0.550398771914253,0.550398771914253,0.550398771914253,0.550398771914253,0.550398771914253
"5",1.45949823276011,1.45949823276011,1.45949823276011,1.45949823276011,1.45949823276011,1.45949823276011
"6",0.0289094947925352,0.0289094947925352,0.0289094947925352,0.0289094947925352,0.0289094947925352,0.0289094947925352
"7",-3.2241294675252,-3.2241294675252,-3.2241294675252,-3.2241294675252,-3.2241294675252,-3.2241294675252
"8",-2.2347334302854,-2.2347334302854,-2.2347334302854,-2.2347334302854,-2.2347334302854,-2.2347334302854
"9",0.182331180667539,0.182331180667539,0.182331180667539,0.182331180667539,0.182331180667539,0.182331180667539
"10",0.00241411835861836,0.00241411835861836,0.00241411835861836,0.00241411835861836,0.00241411835861836,0.00241411835861836
"11",0.0306835503568555,0.0306835503568555,0.0306835503568555,0.0306835503568555,0.0306835503568555,0.0306835503568555
"12",0.856179723065934,0.856179723065934,0.856179723065934,0.856179723065934,0.856179723065934,0.856179723065934
"13",0.107310495108567,0.107310495108567,0.107310495108567,0.107310495108567,0.107310495108567,0.107310495108567
