"","1","2","3","4","5","6"
"d.union",0.367076779113857,NA,-0.896619416903746,0.0662793645430542,NA,0.0850550538245411
"se",1.0786009343266,NA,1.20655284628151,0.0834460577650349,NA,0.0991167664482567
"d.manuf",1.35649398357102,NA,1.72488458875729,-0.0666821180832733,NA,-0.0556809764008762
"se",0.933196786344743,NA,0.93578889766729,0.0721968528500169,NA,0.0768738558786011
"union.post",NA,3.64043404715547,6.22185870072284,NA,0.161208226077854,0.0192441948581016
"se",NA,2.44922361126838,2.72853253003599,NA,0.193634905733967,0.224145442414339
"manuf.post",NA,-1.5178716279495,-1.53638562392073,NA,0.126667728758701,0.173243501439859
"se",NA,3.1231909962945,3.22870327166864,NA,0.246918571001147,0.265233826346665
"constant",0.411272467943985,-0.928773637477823,-0.686502704397786,0.0395306521577503,0.00540790252835341,0.0309218125195263
"se",0.985422726125207,0.586124517317791,1.07563869216854,0.076237317352743,0.0463388337173599,0.0883623368532526
"r sqrd",0.0493471254585755,0.0493471254585755,0.0493471254585755,0.0493471254585755,0.0493471254585755,0.0493471254585755
