"","1","2","3","4","5","6"
"d.union",-3.19073484905624,NA,-4.54049402252759,-0.0343908263283506,NA,-0.0818165154397862
"se",1.40894960670574,NA,1.69291514744565,0.0929341203524419,NA,0.115770365450302
"d.manuf",-0.0725186127984533,NA,-1.87303504057735,-0.112759203947888,NA,-0.183402649208107
"se",0.981363258550186,NA,1.30363916203255,0.0647305842206852,NA,0.0891496436968813
"union.post",NA,4.51925214128427,-2.81185563390662,NA,0.223493289618654,-0.0704518386808416
"se",NA,3.645612754335,4.44046702935684,NA,0.240907362907118,0.303662290182893
"manuf.post",NA,-4.53280085244115,-13.5201577284569,NA,0.0151617355584752,-0.550241170405452
"se",NA,4.61588719487928,6.09568306519783,NA,0.305024501100074,0.416854593800498
"constant",-1.79530534255454,-0.591682474567224,-0.821157240785976,-0.00732575478907888,0.020894781364701,0.0303007722499733
"se",0.683684314658634,0.871547947483109,0.835214297183793,0.0450957224297887,0.0575931487582165,0.0571163088475991
"r sqrd",0.106733764877066,0.106733764877066,0.106733764877066,0.106733764877066,0.106733764877066,0.106733764877066
