"mean" "sd" "min" "max"
"avg.annual.d.mem" 0.329329710144928 0.138081276339226 0.0933333333333333 0.705
"avg.ann.early.d.mem" 0.430434782608696 0.268696879141792 -0.221428571428572 0.992857142857143
"avg.ann.late.d.mem" 0.205555555555556 0.100359009197099 0.00277777777777777 0.416666666666667
"avg.annual.d.manuf" 0.304144746376812 0.161039346088965 -0.0436166666666667 0.579566666666667
"avg.ann.early.d.manuf" 0.260534679089027 0.188957000305326 -0.161642857142857 0.617523809523809
"avg.ann.late.d.manuf" 0.314675422705314 0.155715606301816 0.0260277777777778 0.633458333333333
"avg.annual.d.prod" 1.40938830439369 0.537659864491181 -0.08478298211033 2.67179965780147
"avg.ann.early.d.prod" 0.752116074424373 0.625929573155453 -0.708630818426731 2.08171284136233
"avg.ann.late.d.prod" 1.48886142128569 0.557540034032987 0.421575604124742 3.53655285684615
