"","1","2","3","4","5","6","7","8","9"
"slope",-0.265,-0.217,-0.234,-0.31,-0.23,-0.262,-0.235,-0.211,-0.21
"se",0.012,0.011,0.01,0.02,0.015,0.014,0.015,0.016,0.015
"constant",0.848,1.146,1.285,1.213,1.462,1.53,0.594,0.927,1.105
"se",0.147,0.144,0.13,0.254,0.243,0.203,0.165,0.173,0.167
"trend",3.504,3.325,3.554,3.706,3.642,3.963,3.381,3.039,3.187
"se",0.013,0.014,0.017,0.045,0.049,0.036,0.037,0.039,0.024
"n",690,736,690,315,336,315,375,400,375
"r sqrd",0.394,0.353,0.433,0.408,0.397,0.529,0.386,0.28,0.314
