"","1","2","3","4","5","6"
"d.union",-0.0606616221236301,NA,-0.0802374317528767,0.000134868354714913,NA,-0.0002593638103329
"se",0.0312753275278667,NA,0.0377484833654558,0.00203979517609471,NA,0.00253203212619547
"d.manuf",0.118813482350534,NA,-3.32928016901353,-0.262768345380554,NA,-0.377903643089641
"se",2.36580619419355,NA,3.11054400740101,0.154299265393501,NA,0.208644073999847
"union.post",NA,4.51925214128427,-1.92255057981036,NA,0.223493289618654,0.012577182082257
"se",NA,3.645612754335,4.68194256496,NA,0.240907362907118,0.314047822073013
"manuf.post",NA,-4.53280085244115,-11.6228937518853,NA,0.0151617355584752,-0.426390949347058
"se",NA,4.61588719487928,6.15957377796546,NA,0.305024501100074,0.413161994840623
"constant",-1.47516783064957,-0.591682474567224,-0.543776891606894,0.00686794367850595,0.020894781364701,0.0367891886745636
"se",0.625279172200889,0.871547947483109,0.854361447284417,0.0407810737723347,0.0575931487582165,0.0573074846733219
"r sqrd",0.0810274855108565,0.0810274855108565,0.0810274855108565,0.0810274855108565,0.0810274855108565,0.0810274855108565
